"","start","Dabangg.2."
"1",2012-11-01,1
"2",2012-11-02,1
"3",2012-11-03,1
"4",2012-11-04,1
"5",2012-11-05,1
"6",2012-11-06,1
"7",2012-11-07,3
"8",2012-11-08,4
"9",2012-11-09,5
"10",2012-11-10,9
"11",2012-11-11,14
"12",2012-11-12,12
"13",2012-11-13,8
"14",2012-11-14,8
"15",2012-11-15,9
"16",2012-11-16,11
"17",2012-11-17,10
"18",2012-11-18,8
"19",2012-11-19,7
"20",2012-11-20,7
"21",2012-11-21,7
"22",2012-11-22,7
"23",2012-11-23,7
"24",2012-11-24,8
"25",2012-11-25,6
"26",2012-11-26,5
"27",2012-11-27,5
"28",2012-11-28,5
"29",2012-11-29,5
"30",2012-11-30,9
"31",2012-12-01,14
"32",2012-12-02,12
"33",2012-12-03,10
"34",2012-12-04,9
"35",2012-12-05,9
"36",2012-12-06,10
"37",2012-12-07,11
"38",2012-12-08,12
"39",2012-12-09,11
"40",2012-12-10,9
"41",2012-12-11,9
"42",2012-12-12,9
"43",2012-12-13,10
"44",2012-12-14,11
"45",2012-12-15,13
"46",2012-12-16,12
"47",2012-12-17,11
"48",2012-12-18,12
"49",2012-12-19,13
"50",2012-12-20,20
"51",2012-12-21,99
"52",2012-12-22,100
"53",2012-12-23,75
"54",2012-12-24,72
"55",2012-12-25,64
"56",2012-12-26,51
"57",2012-12-27,42
"58",2012-12-28,34
"59",2012-12-29,36
"60",2012-12-30,31
"61",2012-12-31,33
