"","start","Dabangg.2."
"1",2012-12-01,14
"2",2012-12-02,12
"3",2012-12-03,10
"4",2012-12-04,10
"5",2012-12-05,9
"6",2012-12-06,10
"7",2012-12-07,11
"8",2012-12-08,12
"9",2012-12-09,11
"10",2012-12-10,9
"11",2012-12-11,9
"12",2012-12-12,9
"13",2012-12-13,10
"14",2012-12-14,11
"15",2012-12-15,13
"16",2012-12-16,12
"17",2012-12-17,11
"18",2012-12-18,11
"19",2012-12-19,13
"20",2012-12-20,20
"21",2012-12-21,99
"22",2012-12-22,100
"23",2012-12-23,76
"24",2012-12-24,73
"25",2012-12-25,64
"26",2012-12-26,51
"27",2012-12-27,42
"28",2012-12-28,35
"29",2012-12-29,37
"30",2012-12-30,31
"31",2012-12-31,33
