"","start","Dabangg.2."
"1",2013-01-01,100
"2",2013-01-02,75
"3",2013-01-03,60
"4",2013-01-04,62
"5",2013-01-05,70
"6",2013-01-06,60
"7",2013-01-07,49
"8",2013-01-08,44
"9",2013-01-09,41
"10",2013-01-10,40
"11",2013-01-11,37
"12",2013-01-12,46
"13",2013-01-13,42
"14",2013-01-14,33
"15",2013-01-15,28
"16",2013-01-16,25
"17",2013-01-17,27
"18",2013-01-18,28
"19",2013-01-19,31
"20",2013-01-20,31
"21",2013-01-21,22
"22",2013-01-22,20
"23",2013-01-23,18
"24",2013-01-24,21
"25",2013-01-25,20
"26",2013-01-26,24
"27",2013-01-27,22
"28",2013-01-28,17
"29",2013-01-29,16
"30",2013-01-30,15
"31",2013-01-31,17
