"","start","Bhoothnath.Returns."
"1",2014-04-01,12
"2",2014-04-02,14
"3",2014-04-03,13
"4",2014-04-04,14
"5",2014-04-05,22
"6",2014-04-06,21
"7",2014-04-07,16
"8",2014-04-08,19
"9",2014-04-09,18
"10",2014-04-10,25
"11",2014-04-11,71
"12",2014-04-12,100
"13",2014-04-13,79
"14",2014-04-14,62
"15",2014-04-15,48
"16",2014-04-16,45
"17",2014-04-17,49
"18",2014-04-18,54
"19",2014-04-19,56
"20",2014-04-20,47
"21",2014-04-21,32
"22",2014-04-22,28
"23",2014-04-23,26
"24",2014-04-24,25
"25",2014-04-25,29
"26",2014-04-26,34
"27",2014-04-27,30
"28",2014-04-28,21
"29",2014-04-29,22
"30",2014-04-30,24
