"","start","Bhoothnath.Returns."
"1",2014-02-01,1
"2",2014-02-02,1
"3",2014-02-03,1
"4",2014-02-04,2
"5",2014-02-05,1
"6",2014-02-06,1
"7",2014-02-07,1
"8",2014-02-08,1
"9",2014-02-09,1
"10",2014-02-10,4
"11",2014-02-11,3
"12",2014-02-12,1
"13",2014-02-13,1
"14",2014-02-14,1
"15",2014-02-15,2
"16",2014-02-16,2
"17",2014-02-17,2
"18",2014-02-18,1
"19",2014-02-19,1
"20",2014-02-20,2
"21",2014-02-21,2
"22",2014-02-22,2
"23",2014-02-23,1
"24",2014-02-24,1
"25",2014-02-25,9
"26",2014-02-26,33
"27",2014-02-27,19
"28",2014-02-28,13
"29",2014-03-01,9
"30",2014-03-02,8
"31",2014-03-03,6
"32",2014-03-04,5
"33",2014-03-05,8
"34",2014-03-06,13
"35",2014-03-07,11
"36",2014-03-08,18
"37",2014-03-09,31
"38",2014-03-10,18
"39",2014-03-11,16
"40",2014-03-12,17
"41",2014-03-13,21
"42",2014-03-14,21
"43",2014-03-15,24
"44",2014-03-16,27
"45",2014-03-17,14
"46",2014-03-18,16
"47",2014-03-19,16
"48",2014-03-20,20
"49",2014-03-21,33
"50",2014-03-22,77
"51",2014-03-23,79
"52",2014-03-24,79
"53",2014-03-25,75
"54",2014-03-26,79
"55",2014-03-27,80
"56",2014-03-28,79
"57",2014-03-29,100
"58",2014-03-30,95
"59",2014-03-31,87
