"","start","After.Earth."
"1",2013-07-01,88
"2",2013-07-02,79
"3",2013-07-03,75
"4",2013-07-04,74
"5",2013-07-05,82
"6",2013-07-06,93
"7",2013-07-07,96
"8",2013-07-08,68
"9",2013-07-09,62
"10",2013-07-10,65
"11",2013-07-11,59
"12",2013-07-12,67
"13",2013-07-13,82
"14",2013-07-14,81
"15",2013-07-15,60
"16",2013-07-16,53
"17",2013-07-17,54
"18",2013-07-18,53
"19",2013-07-19,55
"20",2013-07-20,71
"21",2013-07-21,72
"22",2013-07-22,54
"23",2013-07-23,58
"24",2013-07-24,70
"25",2013-07-25,68
"26",2013-07-26,76
"27",2013-07-27,92
"28",2013-07-28,100
"29",2013-07-29,63
"30",2013-07-30,57
"31",2013-07-31,52
