"","start","After.Earth."
"1",2013-06-01,100
"2",2013-06-02,96
"3",2013-06-03,70
"4",2013-06-04,57
"5",2013-06-05,55
"6",2013-06-06,61
"7",2013-06-07,81
"8",2013-06-08,93
"9",2013-06-09,86
"10",2013-06-10,50
"11",2013-06-11,43
"12",2013-06-12,43
"13",2013-06-13,40
"14",2013-06-14,42
"15",2013-06-15,51
"16",2013-06-16,47
"17",2013-06-17,31
"18",2013-06-18,28
"19",2013-06-19,25
"20",2013-06-20,23
"21",2013-06-21,25
"22",2013-06-22,36
"23",2013-06-23,34
"24",2013-06-24,24
"25",2013-06-25,21
"26",2013-06-26,20
"27",2013-06-27,19
"28",2013-06-28,23
"29",2013-06-29,29
"30",2013-06-30,27
