"","start","After.Earth."
"1",2013-07-01,88
"2",2013-07-02,78
"3",2013-07-03,74
"4",2013-07-04,73
"5",2013-07-05,81
"6",2013-07-06,92
"7",2013-07-07,94
"8",2013-07-08,67
"9",2013-07-09,61
"10",2013-07-10,65
"11",2013-07-11,58
"12",2013-07-12,67
"13",2013-07-13,82
"14",2013-07-14,81
"15",2013-07-15,60
"16",2013-07-16,54
"17",2013-07-17,53
"18",2013-07-18,52
"19",2013-07-19,54
"20",2013-07-20,72
"21",2013-07-21,72
"22",2013-07-22,54
"23",2013-07-23,56
"24",2013-07-24,70
"25",2013-07-25,67
"26",2013-07-26,74
"27",2013-07-27,90
"28",2013-07-28,100
"29",2013-07-29,62
"30",2013-07-30,55
"31",2013-07-31,53
