"","start","Tanu.Weds.Manu.Returns.movie."
"1",2015-07-01,56
"2",2015-07-02,54
"3",2015-07-03,70
"4",2015-07-04,100
"5",2015-07-05,83
"6",2015-07-06,53
"7",2015-07-07,49
"8",2015-07-08,44
"9",2015-07-09,46
"10",2015-07-10,63
"11",2015-07-11,83
"12",2015-07-12,64
"13",2015-07-13,36
"14",2015-07-14,40
"15",2015-07-15,41
"16",2015-07-16,46
"17",2015-07-17,57
"18",2015-07-18,80
"19",2015-07-19,81
"20",2015-07-20,49
"21",2015-07-21,47
"22",2015-07-22,47
"23",2015-07-23,50
"24",2015-07-24,55
"25",2015-07-25,65
"26",2015-07-26,76
"27",2015-07-27,38
"28",2015-07-28,36
"29",2015-07-29,36
"30",2015-07-30,34
"31",2015-07-31,37
