"","start","Tanu.Weds.Manu.Returns.movie."
"1",2015-06-01,80
"2",2015-06-02,73
"3",2015-06-03,73
"4",2015-06-04,75
"5",2015-06-05,75
"6",2015-06-06,100
"7",2015-06-07,81
"8",2015-06-08,53
"9",2015-06-09,47
"10",2015-06-10,47
"11",2015-06-11,46
"12",2015-06-12,54
"13",2015-06-13,70
"14",2015-06-14,61
"15",2015-06-15,36
"16",2015-06-16,36
"17",2015-06-17,31
"18",2015-06-18,35
"19",2015-06-19,39
"20",2015-06-20,49
"21",2015-06-21,40
"22",2015-06-22,26
"23",2015-06-23,32
"24",2015-06-24,27
"25",2015-06-25,33
"26",2015-06-26,31
"27",2015-06-27,48
"28",2015-06-28,41
"29",2015-06-29,24
"30",2015-06-30,23
