"","start","Besharam."
"1",2013-12-01,78
"2",2013-12-02,55
"3",2013-12-03,56
"4",2013-12-04,53
"5",2013-12-05,53
"6",2013-12-06,58
"7",2013-12-07,77
"8",2013-12-08,69
"9",2013-12-09,58
"10",2013-12-10,59
"11",2013-12-11,53
"12",2013-12-12,62
"13",2013-12-13,69
"14",2013-12-14,98
"15",2013-12-15,96
"16",2013-12-16,63
"17",2013-12-17,67
"18",2013-12-18,61
"19",2013-12-19,65
"20",2013-12-20,70
"21",2013-12-21,91
"22",2013-12-22,100
"23",2013-12-23,72
"24",2013-12-24,76
"25",2013-12-25,86
"26",2013-12-26,68
"27",2013-12-27,70
"28",2013-12-28,91
"29",2013-12-29,85
"30",2013-12-30,66
"31",2013-12-31,82
