"","start","end","Besharam."
"1",2013-07-07,2013-07-13,1
"2",2013-07-14,2013-07-20,1
"3",2013-07-21,2013-07-27,1
"4",2013-07-28,2013-08-03,9
"5",2013-08-04,2013-08-10,6
"6",2013-08-11,2013-08-17,6
"7",2013-08-18,2013-08-24,11
"8",2013-08-25,2013-08-31,16
"9",2013-09-01,2013-09-07,16
"10",2013-09-08,2013-09-14,19
"11",2013-09-15,2013-09-21,20
"12",2013-09-22,2013-09-28,28
"13",2013-09-29,2013-10-05,100
"14",2013-10-06,2013-10-12,60
"15",2013-10-13,2013-10-19,30
"16",2013-10-20,2013-10-26,16
"17",2013-10-27,2013-11-02,13
"18",2013-11-03,2013-11-09,11
"19",2013-11-10,2013-11-16,9
"20",2013-11-17,2013-11-23,8
"21",2013-11-24,2013-11-30,7
