"","start","Aurangzeb."
"1",2013-06-01,100
"2",2013-06-02,89
"3",2013-06-03,61
"4",2013-06-04,52
"5",2013-06-05,49
"6",2013-06-06,48
"7",2013-06-07,52
"8",2013-06-08,63
"9",2013-06-09,58
"10",2013-06-10,39
"11",2013-06-11,36
"12",2013-06-12,43
"13",2013-06-13,39
"14",2013-06-14,38
"15",2013-06-15,45
"16",2013-06-16,50
"17",2013-06-17,32
"18",2013-06-18,34
"19",2013-06-19,26
"20",2013-06-20,30
"21",2013-06-21,32
"22",2013-06-22,40
"23",2013-06-23,38
"24",2013-06-24,28
"25",2013-06-25,26
"26",2013-06-26,31
"27",2013-06-27,29
"28",2013-06-28,30
"29",2013-06-29,56
"30",2013-06-30,58
