"","start","Aurangzeb."
"1",2013-05-01,10
"2",2013-05-02,10
"3",2013-05-03,10
"4",2013-05-04,16
"5",2013-05-05,12
"6",2013-05-06,12
"7",2013-05-07,12
"8",2013-05-08,11
"9",2013-05-09,13
"10",2013-05-10,14
"11",2013-05-11,14
"12",2013-05-12,14
"13",2013-05-13,13
"14",2013-05-14,14
"15",2013-05-15,15
"16",2013-05-16,24
"17",2013-05-17,97
"18",2013-05-18,100
"19",2013-05-19,82
"20",2013-05-20,58
"21",2013-05-21,41
"22",2013-05-22,40
"23",2013-05-23,39
"24",2013-05-24,37
"25",2013-05-25,46
"26",2013-05-26,34
"27",2013-05-27,26
"28",2013-05-28,23
"29",2013-05-29,21
"30",2013-05-30,19
"31",2013-05-31,18
