"","start","NH.10.movie."
"1",2015-02-01,0
"2",2015-02-02,0
"3",2015-02-03,0
"4",2015-02-04,2
"5",2015-02-05,5
"6",2015-02-06,7
"7",2015-02-07,5
"8",2015-02-08,2
"9",2015-02-09,2
"10",2015-02-10,2
"11",2015-02-11,2
"12",2015-02-12,2
"13",2015-02-13,2
"14",2015-02-14,2
"15",2015-02-15,2
"16",2015-02-16,1
"17",2015-02-17,3
"18",2015-02-18,3
"19",2015-02-19,3
"20",2015-02-20,3
"21",2015-02-21,4
"22",2015-02-22,4
"23",2015-02-23,3
"24",2015-02-24,4
"25",2015-02-25,4
"26",2015-02-26,4
"27",2015-02-27,5
"28",2015-02-28,6
"29",2015-03-01,5
"30",2015-03-02,5
"31",2015-03-03,6
"32",2015-03-04,6
"33",2015-03-05,6
"34",2015-03-06,13
"35",2015-03-07,12
"36",2015-03-08,20
"37",2015-03-09,15
"38",2015-03-10,13
"39",2015-03-11,17
"40",2015-03-12,24
"41",2015-03-13,94
"42",2015-03-14,100
"43",2015-03-15,77
"44",2015-03-16,57
"45",2015-03-17,55
"46",2015-03-18,55
"47",2015-03-19,51
"48",2015-03-20,61
"49",2015-03-21,66
"50",2015-03-22,60
"51",2015-03-23,34
"52",2015-03-24,24
"53",2015-03-25,29
"54",2015-03-26,19
"55",2015-03-27,26
"56",2015-03-28,38
"57",2015-03-29,35
"58",2015-03-30,20
"59",2015-03-31,18
