"","start","NH.10.movie."
"1",2015-04-01,69
"2",2015-04-02,100
"3",2015-04-03,97
"4",2015-04-04,87
"5",2015-04-05,89
"6",2015-04-06,55
"7",2015-04-07,54
"8",2015-04-08,37
"9",2015-04-09,45
"10",2015-04-10,46
"11",2015-04-11,58
"12",2015-04-12,43
"13",2015-04-13,28
"14",2015-04-14,27
"15",2015-04-15,25
"16",2015-04-16,32
"17",2015-04-17,37
"18",2015-04-18,40
"19",2015-04-19,37
"20",2015-04-20,23
"21",2015-04-21,19
"22",2015-04-22,25
"23",2015-04-23,33
"24",2015-04-24,49
"25",2015-04-25,67
"26",2015-04-26,56
"27",2015-04-27,28
"28",2015-04-28,18
"29",2015-04-29,18
"30",2015-04-30,27
