"","start","NH.10.movie."
"1",2015-03-01,6
"2",2015-03-02,4
"3",2015-03-03,6
"4",2015-03-04,5
"5",2015-03-05,7
"6",2015-03-06,13
"7",2015-03-07,11
"8",2015-03-08,19
"9",2015-03-09,14
"10",2015-03-10,12
"11",2015-03-11,14
"12",2015-03-12,26
"13",2015-03-13,90
"14",2015-03-14,100
"15",2015-03-15,76
"16",2015-03-16,56
"17",2015-03-17,53
"18",2015-03-18,51
"19",2015-03-19,49
"20",2015-03-20,59
"21",2015-03-21,65
"22",2015-03-22,58
"23",2015-03-23,33
"24",2015-03-24,23
"25",2015-03-25,30
"26",2015-03-26,20
"27",2015-03-27,24
"28",2015-03-28,38
"29",2015-03-29,32
"30",2015-03-30,20
"31",2015-03-31,17
