"","start","Phata.Poster.Nikla.Hero.movie."
"1",2013-10-01,91
"2",2013-10-02,93
"3",2013-10-03,75
"4",2013-10-04,77
"5",2013-10-05,100
"6",2013-10-06,91
"7",2013-10-07,51
"8",2013-10-08,45
"9",2013-10-09,50
"10",2013-10-10,49
"11",2013-10-11,57
"12",2013-10-12,66
"13",2013-10-13,62
"14",2013-10-14,45
"15",2013-10-15,44
"16",2013-10-16,48
"17",2013-10-17,44
"18",2013-10-18,47
"19",2013-10-19,62
"20",2013-10-20,53
"21",2013-10-21,35
"22",2013-10-22,32
"23",2013-10-23,36
"24",2013-10-24,34
"25",2013-10-25,36
"26",2013-10-26,50
"27",2013-10-27,47
"28",2013-10-28,35
"29",2013-10-29,33
"30",2013-10-30,32
"31",2013-10-31,37
