"","start","Phata.Poster.Nikla.Hero.movie."
"1",2013-09-01,11
"2",2013-09-02,8
"3",2013-09-03,9
"4",2013-09-04,10
"5",2013-09-05,10
"6",2013-09-06,9
"7",2013-09-07,13
"8",2013-09-08,15
"9",2013-09-09,11
"10",2013-09-10,10
"11",2013-09-11,11
"12",2013-09-12,11
"13",2013-09-13,14
"14",2013-09-14,18
"15",2013-09-15,16
"16",2013-09-16,11
"17",2013-09-17,13
"18",2013-09-18,13
"19",2013-09-19,22
"20",2013-09-20,78
"21",2013-09-21,100
"22",2013-09-22,88
"23",2013-09-23,65
"24",2013-09-24,57
"25",2013-09-25,50
"26",2013-09-26,49
"27",2013-09-27,55
"28",2013-09-28,68
"29",2013-09-29,52
"30",2013-09-30,37
