"","start","Phata.Poster.Nikla.Hero.movie."
"1",2013-07-01,0
"2",2013-07-02,0
"3",2013-07-03,0
"4",2013-07-04,0
"5",2013-07-05,0
"6",2013-07-06,0
"7",2013-07-07,0
"8",2013-07-08,0
"9",2013-07-09,0
"10",2013-07-10,0
"11",2013-07-11,0
"12",2013-07-12,0
"13",2013-07-13,0
"14",2013-07-14,1
"15",2013-07-15,2
"16",2013-07-16,1
"17",2013-07-17,1
"18",2013-07-18,1
"19",2013-07-19,1
"20",2013-07-20,1
"21",2013-07-21,1
"22",2013-07-22,1
"23",2013-07-23,1
"24",2013-07-24,1
"25",2013-07-25,1
"26",2013-07-26,1
"27",2013-07-27,2
"28",2013-07-28,2
"29",2013-07-29,2
"30",2013-07-30,1
"31",2013-07-31,2
"32",2013-08-01,1
"33",2013-08-02,2
"34",2013-08-03,2
"35",2013-08-04,2
"36",2013-08-05,2
"37",2013-08-06,2
"38",2013-08-07,2
"39",2013-08-08,3
"40",2013-08-09,4
"41",2013-08-10,4
"42",2013-08-11,3
"43",2013-08-12,3
"44",2013-08-13,4
"45",2013-08-14,4
"46",2013-08-15,3
"47",2013-08-16,4
"48",2013-08-17,4
"49",2013-08-18,4
"50",2013-08-19,5
"51",2013-08-20,6
"52",2013-08-21,5
"53",2013-08-22,4
"54",2013-08-23,6
"55",2013-08-24,6
"56",2013-08-25,7
"57",2013-08-26,5
"58",2013-08-27,6
"59",2013-08-28,6
"60",2013-08-29,6
"61",2013-08-30,6
"62",2013-08-31,10
"63",2013-09-01,12
"64",2013-09-02,9
"65",2013-09-03,9
"66",2013-09-04,9
"67",2013-09-05,10
"68",2013-09-06,10
"69",2013-09-07,12
"70",2013-09-08,14
"71",2013-09-09,11
"72",2013-09-10,11
"73",2013-09-11,12
"74",2013-09-12,12
"75",2013-09-13,13
"76",2013-09-14,18
"77",2013-09-15,17
"78",2013-09-16,12
"79",2013-09-17,13
"80",2013-09-18,13
"81",2013-09-19,21
"82",2013-09-20,75
"83",2013-09-21,100
"84",2013-09-22,88
"85",2013-09-23,64
"86",2013-09-24,58
"87",2013-09-25,50
"88",2013-09-26,47
"89",2013-09-27,53
"90",2013-09-28,69
"91",2013-09-29,52
"92",2013-09-30,38
