"","start","Bajrangi.Bhaijaan."
"1",2015-08-01,100
"2",2015-08-02,94
"3",2015-08-03,71
"4",2015-08-04,63
"5",2015-08-05,59
"6",2015-08-06,58
"7",2015-08-07,59
"8",2015-08-08,70
"9",2015-08-09,67
"10",2015-08-10,46
"11",2015-08-11,40
"12",2015-08-12,38
"13",2015-08-13,37
"14",2015-08-14,40
"15",2015-08-15,49
"16",2015-08-16,45
"17",2015-08-17,32
"18",2015-08-18,29
"19",2015-08-19,27
"20",2015-08-20,26
"21",2015-08-21,28
"22",2015-08-22,35
"23",2015-08-23,34
"24",2015-08-24,22
"25",2015-08-25,21
"26",2015-08-26,20
"27",2015-08-27,20
"28",2015-08-28,23
"29",2015-08-29,28
"30",2015-08-30,27
"31",2015-08-31,17
