"","start","Bajrangi.Bhaijaan."
"1",2015-06-01,3
"2",2015-06-02,3
"3",2015-06-03,3
"4",2015-06-04,4
"5",2015-06-05,3
"6",2015-06-06,3
"7",2015-06-07,3
"8",2015-06-08,2
"9",2015-06-09,3
"10",2015-06-10,2
"11",2015-06-11,2
"12",2015-06-12,3
"13",2015-06-13,3
"14",2015-06-14,3
"15",2015-06-15,2
"16",2015-06-16,3
"17",2015-06-17,3
"18",2015-06-18,6
"19",2015-06-19,6
"20",2015-06-20,6
"21",2015-06-21,4
"22",2015-06-22,4
"23",2015-06-23,4
"24",2015-06-24,3
"25",2015-06-25,4
"26",2015-06-26,5
"27",2015-06-27,6
"28",2015-06-28,5
"29",2015-06-29,4
"30",2015-06-30,4
"31",2015-07-01,4
"32",2015-07-02,5
"33",2015-07-03,6
"34",2015-07-04,8
"35",2015-07-05,7
"36",2015-07-06,5
"37",2015-07-07,5
"38",2015-07-08,5
"39",2015-07-09,6
"40",2015-07-10,7
"41",2015-07-11,8
"42",2015-07-12,8
"43",2015-07-13,7
"44",2015-07-14,7
"45",2015-07-15,9
"46",2015-07-16,15
"47",2015-07-17,73
"48",2015-07-18,100
"49",2015-07-19,84
"50",2015-07-20,69
"51",2015-07-21,59
"52",2015-07-22,52
"53",2015-07-23,48
"54",2015-07-24,47
"55",2015-07-25,58
"56",2015-07-26,53
"57",2015-07-27,37
"58",2015-07-28,34
"59",2015-07-29,31
"60",2015-07-30,29
"61",2015-07-31,31
