"","start","X2.States."
"1",2014-02-01,6
"2",2014-02-02,6
"3",2014-02-03,7
"4",2014-02-04,8
"5",2014-02-05,8
"6",2014-02-06,6
"7",2014-02-07,7
"8",2014-02-08,6
"9",2014-02-09,6
"10",2014-02-10,8
"11",2014-02-11,9
"12",2014-02-12,9
"13",2014-02-13,8
"14",2014-02-14,7
"15",2014-02-15,6
"16",2014-02-16,7
"17",2014-02-17,7
"18",2014-02-18,9
"19",2014-02-19,9
"20",2014-02-20,9
"21",2014-02-21,34
"22",2014-02-22,20
"23",2014-02-23,12
"24",2014-02-24,21
"25",2014-02-25,16
"26",2014-02-26,18
"27",2014-02-27,44
"28",2014-02-28,98
"29",2014-03-01,74
"30",2014-03-02,47
"31",2014-03-03,41
"32",2014-03-04,40
"33",2014-03-05,35
"34",2014-03-06,37
"35",2014-03-07,53
"36",2014-03-08,55
"37",2014-03-09,49
"38",2014-03-10,41
"39",2014-03-11,48
"40",2014-03-12,47
"41",2014-03-13,60
"42",2014-03-14,78
"43",2014-03-15,90
"44",2014-03-16,80
"45",2014-03-17,61
"46",2014-03-18,66
"47",2014-03-19,65
"48",2014-03-20,68
"49",2014-03-21,65
"50",2014-03-22,73
"51",2014-03-23,66
"52",2014-03-24,57
"53",2014-03-25,63
"54",2014-03-26,74
"55",2014-03-27,86
"56",2014-03-28,97
"57",2014-03-29,100
"58",2014-03-30,97
"59",2014-03-31,78
