"","start","X2.States."
"1",2014-04-01,13
"2",2014-04-02,15
"3",2014-04-03,15
"4",2014-04-04,16
"5",2014-04-05,18
"6",2014-04-06,18
"7",2014-04-07,14
"8",2014-04-08,13
"9",2014-04-09,15
"10",2014-04-10,15
"11",2014-04-11,16
"12",2014-04-12,18
"13",2014-04-13,16
"14",2014-04-14,15
"15",2014-04-15,15
"16",2014-04-16,20
"17",2014-04-17,35
"18",2014-04-18,97
"19",2014-04-19,100
"20",2014-04-20,88
"21",2014-04-21,68
"22",2014-04-22,54
"23",2014-04-23,51
"24",2014-04-24,47
"25",2014-04-25,45
"26",2014-04-26,53
"27",2014-04-27,52
"28",2014-04-28,37
"29",2014-04-29,35
"30",2014-04-30,36
