"","start","Happy.Ending."
"1",2015-01-01,100
"2",2015-01-02,85
"3",2015-01-03,88
"4",2015-01-04,84
"5",2015-01-05,69
"6",2015-01-06,60
"7",2015-01-07,64
"8",2015-01-08,63
"9",2015-01-09,62
"10",2015-01-10,70
"11",2015-01-11,74
"12",2015-01-12,63
"13",2015-01-13,56
"14",2015-01-14,56
"15",2015-01-15,59
"16",2015-01-16,59
"17",2015-01-17,65
"18",2015-01-18,71
"19",2015-01-19,57
"20",2015-01-20,54
"21",2015-01-21,55
"22",2015-01-22,54
"23",2015-01-23,56
"24",2015-01-24,63
"25",2015-01-25,67
"26",2015-01-26,52
"27",2015-01-27,47
"28",2015-01-28,46
"29",2015-01-29,46
"30",2015-01-30,49
"31",2015-01-31,59
