"","start","Happy.Ending."
"1",2014-09-01,7
"2",2014-09-02,7
"3",2014-09-03,7
"4",2014-09-04,7
"5",2014-09-05,7
"6",2014-09-06,8
"7",2014-09-07,9
"8",2014-09-08,7
"9",2014-09-09,7
"10",2014-09-10,6
"11",2014-09-11,7
"12",2014-09-12,7
"13",2014-09-13,8
"14",2014-09-14,8
"15",2014-09-15,7
"16",2014-09-16,6
"17",2014-09-17,7
"18",2014-09-18,7
"19",2014-09-19,7
"20",2014-09-20,8
"21",2014-09-21,8
"22",2014-09-22,7
"23",2014-09-23,7
"24",2014-09-24,6
"25",2014-09-25,7
"26",2014-09-26,7
"27",2014-09-27,9
"28",2014-09-28,9
"29",2014-09-29,7
"30",2014-09-30,6
"31",2014-10-01,7
"32",2014-10-02,7
"33",2014-10-03,9
"34",2014-10-04,9
"35",2014-10-05,10
"36",2014-10-06,7
"37",2014-10-07,8
"38",2014-10-08,8
"39",2014-10-09,10
"40",2014-10-10,13
"41",2014-10-11,14
"42",2014-10-12,13
"43",2014-10-13,10
"44",2014-10-14,9
"45",2014-10-15,9
"46",2014-10-16,10
"47",2014-10-17,9
"48",2014-10-18,11
"49",2014-10-19,11
"50",2014-10-20,10
"51",2014-10-21,10
"52",2014-10-22,13
"53",2014-10-23,12
"54",2014-10-24,12
"55",2014-10-25,15
"56",2014-10-26,15
"57",2014-10-27,12
"58",2014-10-28,13
"59",2014-10-29,13
"60",2014-10-30,14
"61",2014-10-31,15
"62",2014-11-01,18
"63",2014-11-02,17
"64",2014-11-03,14
"65",2014-11-04,14
"66",2014-11-05,14
"67",2014-11-06,14
"68",2014-11-07,15
"69",2014-11-08,16
"70",2014-11-09,16
"71",2014-11-10,15
"72",2014-11-11,15
"73",2014-11-12,15
"74",2014-11-13,15
"75",2014-11-14,16
"76",2014-11-15,28
"77",2014-11-16,30
"78",2014-11-17,22
"79",2014-11-18,24
"80",2014-11-19,25
"81",2014-11-20,32
"82",2014-11-21,84
"83",2014-11-22,100
"84",2014-11-23,81
"85",2014-11-24,51
"86",2014-11-25,43
"87",2014-11-26,40
"88",2014-11-27,38
"89",2014-11-28,36
"90",2014-11-29,42
"91",2014-11-30,37
