"","start","Happy.Ending."
"1",2014-12-01,96
"2",2014-12-02,92
"3",2014-12-03,87
"4",2014-12-04,87
"5",2014-12-05,90
"6",2014-12-06,100
"7",2014-12-07,95
"8",2014-12-08,65
"9",2014-12-09,56
"10",2014-12-10,56
"11",2014-12-11,62
"12",2014-12-12,63
"13",2014-12-13,71
"14",2014-12-14,67
"15",2014-12-15,51
"16",2014-12-16,52
"17",2014-12-17,50
"18",2014-12-18,51
"19",2014-12-19,52
"20",2014-12-20,66
"21",2014-12-21,67
"22",2014-12-22,58
"23",2014-12-23,59
"24",2014-12-24,65
"25",2014-12-25,71
"26",2014-12-26,68
"27",2014-12-27,67
"28",2014-12-28,63
"29",2014-12-29,58
"30",2014-12-30,64
"31",2014-12-31,77
