"","start","Khoobsurat."
"1",2014-11-01,97
"2",2014-11-02,100
"3",2014-11-03,73
"4",2014-11-04,67
"5",2014-11-05,61
"6",2014-11-06,65
"7",2014-11-07,72
"8",2014-11-08,89
"9",2014-11-09,81
"10",2014-11-10,53
"11",2014-11-11,55
"12",2014-11-12,55
"13",2014-11-13,56
"14",2014-11-14,63
"15",2014-11-15,82
"16",2014-11-16,80
"17",2014-11-17,48
"18",2014-11-18,52
"19",2014-11-19,48
"20",2014-11-20,51
"21",2014-11-21,55
"22",2014-11-22,69
"23",2014-11-23,70
"24",2014-11-24,48
"25",2014-11-25,47
"26",2014-11-26,45
"27",2014-11-27,49
"28",2014-11-28,53
"29",2014-11-29,71
"30",2014-11-30,77
