"","start","Khoobsurat."
"1",2014-09-01,10
"2",2014-09-02,10
"3",2014-09-03,9
"4",2014-09-04,12
"5",2014-09-05,13
"6",2014-09-06,17
"7",2014-09-07,16
"8",2014-09-08,13
"9",2014-09-09,12
"10",2014-09-10,12
"11",2014-09-11,15
"12",2014-09-12,16
"13",2014-09-13,20
"14",2014-09-14,20
"15",2014-09-15,16
"16",2014-09-16,16
"17",2014-09-17,18
"18",2014-09-18,25
"19",2014-09-19,79
"20",2014-09-20,100
"21",2014-09-21,80
"22",2014-09-22,50
"23",2014-09-23,45
"24",2014-09-24,41
"25",2014-09-25,38
"26",2014-09-26,40
"27",2014-09-27,48
"28",2014-09-28,43
"29",2014-09-29,28
"30",2014-09-30,26
