"","start","Khoobsurat."
"1",2014-10-01,88
"2",2014-10-02,81
"3",2014-10-03,79
"4",2014-10-04,100
"5",2014-10-05,83
"6",2014-10-06,62
"7",2014-10-07,56
"8",2014-10-08,50
"9",2014-10-09,49
"10",2014-10-10,49
"11",2014-10-11,60
"12",2014-10-12,56
"13",2014-10-13,38
"14",2014-10-14,34
"15",2014-10-15,35
"16",2014-10-16,33
"17",2014-10-17,38
"18",2014-10-18,50
"19",2014-10-19,45
"20",2014-10-20,29
"21",2014-10-21,27
"22",2014-10-22,30
"23",2014-10-23,30
"24",2014-10-24,35
"25",2014-10-25,36
"26",2014-10-26,37
"27",2014-10-27,24
"28",2014-10-28,24
"29",2014-10-29,21
"30",2014-10-30,23
"31",2014-10-31,27
