"","start","Daawat.e.Ishq."
"1",2014-10-01,92
"2",2014-10-02,90
"3",2014-10-03,78
"4",2014-10-04,100
"5",2014-10-05,100
"6",2014-10-06,61
"7",2014-10-07,61
"8",2014-10-08,68
"9",2014-10-09,52
"10",2014-10-10,56
"11",2014-10-11,68
"12",2014-10-12,80
"13",2014-10-13,38
"14",2014-10-14,38
"15",2014-10-15,44
"16",2014-10-16,40
"17",2014-10-17,46
"18",2014-10-18,54
"19",2014-10-19,55
"20",2014-10-20,58
"21",2014-10-21,50
"22",2014-10-22,48
"23",2014-10-23,43
"24",2014-10-24,52
"25",2014-10-25,64
"26",2014-10-26,82
"27",2014-10-27,51
"28",2014-10-28,43
"29",2014-10-29,39
"30",2014-10-30,37
"31",2014-10-31,58
