"","start","Daawat.e.Ishq."
"1",2014-07-01,1
"2",2014-07-02,1
"3",2014-07-03,1
"4",2014-07-04,1
"5",2014-07-05,1
"6",2014-07-06,1
"7",2014-07-07,11
"8",2014-07-08,16
"9",2014-07-09,8
"10",2014-07-10,4
"11",2014-07-11,4
"12",2014-07-12,5
"13",2014-07-13,5
"14",2014-07-14,2
"15",2014-07-15,3
"16",2014-07-16,3
"17",2014-07-17,8
"18",2014-07-18,10
"19",2014-07-19,10
"20",2014-07-20,11
"21",2014-07-21,9
"22",2014-07-22,8
"23",2014-07-23,7
"24",2014-07-24,5
"25",2014-07-25,6
"26",2014-07-26,7
"27",2014-07-27,7
"28",2014-07-28,8
"29",2014-07-29,7
"30",2014-07-30,8
"31",2014-07-31,8
"32",2014-08-01,9
"33",2014-08-02,11
"34",2014-08-03,16
"35",2014-08-04,15
"36",2014-08-05,10
"37",2014-08-06,9
"38",2014-08-07,13
"39",2014-08-08,12
"40",2014-08-09,14
"41",2014-08-10,11
"42",2014-08-11,14
"43",2014-08-12,12
"44",2014-08-13,12
"45",2014-08-14,13
"46",2014-08-15,12
"47",2014-08-16,12
"48",2014-08-17,15
"49",2014-08-18,11
"50",2014-08-19,8
"51",2014-08-20,10
"52",2014-08-21,9
"53",2014-08-22,10
"54",2014-08-23,11
"55",2014-08-24,13
"56",2014-08-25,9
"57",2014-08-26,8
"58",2014-08-27,8
"59",2014-08-28,10
"60",2014-08-29,9
"61",2014-08-30,9
"62",2014-08-31,12
"63",2014-09-01,7
"64",2014-09-02,6
"65",2014-09-03,7
"66",2014-09-04,8
"67",2014-09-05,9
"68",2014-09-06,10
"69",2014-09-07,11
"70",2014-09-08,9
"71",2014-09-09,8
"72",2014-09-10,9
"73",2014-09-11,11
"74",2014-09-12,9
"75",2014-09-13,13
"76",2014-09-14,14
"77",2014-09-15,13
"78",2014-09-16,11
"79",2014-09-17,13
"80",2014-09-18,21
"81",2014-09-19,83
"82",2014-09-20,100
"83",2014-09-21,64
"84",2014-09-22,44
"85",2014-09-23,37
"86",2014-09-24,31
"87",2014-09-25,30
"88",2014-09-26,38
"89",2014-09-27,43
"90",2014-09-28,38
"91",2014-09-29,19
"92",2014-09-30,17
