"","start","Daawat.e.Ishq."
"1",2014-11-01,100
"2",2014-11-02,94
"3",2014-11-03,66
"4",2014-11-04,66
"5",2014-11-05,58
"6",2014-11-06,60
"7",2014-11-07,39
"8",2014-11-08,53
"9",2014-11-09,49
"10",2014-11-10,48
"11",2014-11-11,43
"12",2014-11-12,37
"13",2014-11-13,55
"14",2014-11-14,46
"15",2014-11-15,53
"16",2014-11-16,49
"17",2014-11-17,30
"18",2014-11-18,31
"19",2014-11-19,42
"20",2014-11-20,41
"21",2014-11-21,41
"22",2014-11-22,52
"23",2014-11-23,44
"24",2014-11-24,23
"25",2014-11-25,33
"26",2014-11-26,16
"27",2014-11-27,42
"28",2014-11-28,33
"29",2014-11-29,34
"30",2014-11-30,52
