"","start","Zanjeer.movie."
"1",2013-10-01,69
"2",2013-10-02,67
"3",2013-10-03,67
"4",2013-10-04,79
"5",2013-10-05,100
"6",2013-10-06,85
"7",2013-10-07,64
"8",2013-10-08,60
"9",2013-10-09,60
"10",2013-10-10,48
"11",2013-10-11,74
"12",2013-10-12,86
"13",2013-10-13,84
"14",2013-10-14,49
"15",2013-10-15,64
"16",2013-10-16,48
"17",2013-10-17,61
"18",2013-10-18,62
"19",2013-10-19,71
"20",2013-10-20,70
"21",2013-10-21,51
"22",2013-10-22,52
"23",2013-10-23,49
"24",2013-10-24,40
"25",2013-10-25,52
"26",2013-10-26,65
"27",2013-10-27,58
"28",2013-10-28,32
"29",2013-10-29,45
"30",2013-10-30,40
"31",2013-10-31,37
