"","start","Dawn.of.the.Planet.of.the.Apes."
"1",2014-07-01,9
"2",2014-07-02,12
"3",2014-07-03,12
"4",2014-07-04,12
"5",2014-07-05,14
"6",2014-07-06,18
"7",2014-07-07,15
"8",2014-07-08,17
"9",2014-07-09,29
"10",2014-07-10,40
"11",2014-07-11,81
"12",2014-07-12,100
"13",2014-07-13,90
"14",2014-07-14,61
"15",2014-07-15,49
"16",2014-07-16,45
"17",2014-07-17,42
"18",2014-07-18,48
"19",2014-07-19,71
"20",2014-07-20,66
"21",2014-07-21,40
"22",2014-07-22,31
"23",2014-07-23,31
"24",2014-07-24,30
"25",2014-07-25,32
"26",2014-07-26,45
"27",2014-07-27,43
"28",2014-07-28,27
"29",2014-07-29,25
"30",2014-07-30,25
"31",2014-07-31,22
