"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","Damn #Everest was a eff up movie. Pple actually paid $65 racks to climb that mountain and jus die <ed><U+00A0><U+00BD><ed><U+00B8><U+0091> the bodies are still there since 96' <ed><U+00A0><U+00BD><ed><U+00B8><U+00B3>",FALSE,0,NA,2016-04-09 06:19:02,FALSE,NA,"718684630015053824",NA,"<a href=""http://www.echofon.com/"" rel=""nofollow"">Echofon</a>","_cube1126_",0,FALSE,FALSE,NA,NA
"2","What a sad movie . #Everest",FALSE,0,NA,2016-04-09 00:08:16,FALSE,NA,"718591322760822788",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","harun_bukar",0,FALSE,FALSE,NA,NA
"3","Movie Time <ed><U+00A0><U+00BC><ed><U+00BE><U+00AC> <ed><U+00A0><U+00BD><ed><U+00B8><U+0084> #Everest",FALSE,0,NA,2016-04-08 22:30:12,FALSE,NA,"718566643773739008",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","maritzasantos99",0,FALSE,FALSE,NA,NA
"4","Checking out this movie #Everest <ed><U+00A0><U+00BD><ed><U+00B7><U+00BB><ed><U+00A0><U+00BD><ed><U+00B7><U+00BB><ed><U+00A0><U+00BD><ed><U+00B7><U+00BB><ed><U+00A0><U+00BD><ed><U+00B7><U+00BB><ed><U+00A0><U+00BD><ed><U+00B7><U+00BB><ed><U+00A0><U+00BD><ed><U+00B7><U+00BB><ed><U+00A0><U+00BD><ed><U+00B7><U+00BB><ed><U+00A0><U+00BD><ed><U+00B7><U+00BB><ed><U+00A0><U+00BD><ed><U+00B7><U+00BB>",FALSE,0,NA,2016-04-07 23:22:32,FALSE,NA,"718217423858614272",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TsillySal",0,FALSE,FALSE,NA,NA
"5","#amazing #sunglasses by #Vuarnet VL1315 as worn by #jakegyllenhaal in the #movie #everest … https://t.co/Y5XDvyXwfc https://t.co/VIZi2PByjq",FALSE,0,NA,2016-04-05 19:34:46,FALSE,NA,"717435331352641537",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","SunglassOS",0,FALSE,FALSE,NA,NA
"6","AND the chopper didn't even bring Beck down first because another guy (who is barely in the movie) had to be evacuated first #everest",FALSE,0,"Ellociraptor",2016-04-05 15:12:59,FALSE,"717369013114945536","717369450895421440","64744897","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Ellociraptor",0,FALSE,FALSE,NA,NA
"7","They take off their oxygen masks a lot, but I can accept that since it's a movie and faces are more interesting to look at #everest",FALSE,0,"Ellociraptor",2016-04-05 14:31:41,FALSE,"717358594723815424","717359056042766336","64744897","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Ellociraptor",0,FALSE,FALSE,NA,NA
"8","""I'd forgotten about that"" maybe because when I first saw the movie I dind't know I'd this obsessed and let it consume my life ... #everest",FALSE,1,"Ellociraptor",2016-04-05 14:11:55,FALSE,"717353622326140928","717354080570630144","64744897","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Ellociraptor",0,FALSE,FALSE,NA,NA
"9","I like the casting in this movie but Jason Clarke is like 10 years too old to play Rob Hall tbh. #everest",FALSE,0,"Ellociraptor",2016-04-05 13:34:25,FALSE,"717343045272907777","717344643021684736","64744897","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Ellociraptor",0,FALSE,FALSE,NA,NA
"10","#Everest (25 September 2015 (USA)) - Visually Stunning and Emotional...3/5 https://t.co/wDspIWVbXe #english #movie #hollywood",FALSE,0,NA,2016-04-05 09:42:08,FALSE,NA,"717286186851500032",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ajuravi",0,FALSE,FALSE,NA,NA
"11","#Everest is so similar to Vertical Limit! Except that movie got into the action pretty quick, this one is sooooooooo slow!",FALSE,0,NA,2016-04-04 08:28:37,FALSE,NA,"716905297961312257",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","BoopieBoy",0,FALSE,FALSE,NA,NA
