"","start","Race.2.movie."
"1",2013-03-01,89
"2",2013-03-02,98
"3",2013-03-03,97
"4",2013-03-04,72
"5",2013-03-05,66
"6",2013-03-06,68
"7",2013-03-07,67
"8",2013-03-08,77
"9",2013-03-09,100
"10",2013-03-10,82
"11",2013-03-11,61
"12",2013-03-12,58
"13",2013-03-13,59
"14",2013-03-14,57
"15",2013-03-15,69
"16",2013-03-16,89
"17",2013-03-17,78
"18",2013-03-18,55
"19",2013-03-19,53
"20",2013-03-20,61
"21",2013-03-21,72
"22",2013-03-22,67
"23",2013-03-23,93
"24",2013-03-24,82
"25",2013-03-25,63
"26",2013-03-26,58
"27",2013-03-27,70
"28",2013-03-28,61
"29",2013-03-29,65
"30",2013-03-30,77
"31",2013-03-31,72
