"","start","Race.2.movie."
"1",2012-11-01,0
"2",2012-11-02,1
"3",2012-11-03,1
"4",2012-11-04,1
"5",2012-11-05,1
"6",2012-11-06,1
"7",2012-11-07,1
"8",2012-11-08,1
"9",2012-11-09,1
"10",2012-11-10,2
"11",2012-11-11,2
"12",2012-11-12,3
"13",2012-11-13,2
"14",2012-11-14,2
"15",2012-11-15,2
"16",2012-11-16,2
"17",2012-11-17,2
"18",2012-11-18,2
"19",2012-11-19,2
"20",2012-11-20,3
"21",2012-11-21,3
"22",2012-11-22,3
"23",2012-11-23,4
"24",2012-11-24,3
"25",2012-11-25,2
"26",2012-11-26,3
"27",2012-11-27,3
"28",2012-11-28,3
"29",2012-11-29,3
"30",2012-11-30,3
"31",2012-12-01,4
"32",2012-12-02,3
"33",2012-12-03,3
"34",2012-12-04,3
"35",2012-12-05,2
"36",2012-12-06,3
"37",2012-12-07,5
"38",2012-12-08,5
"39",2012-12-09,5
"40",2012-12-10,3
"41",2012-12-11,3
"42",2012-12-12,4
"43",2012-12-13,4
"44",2012-12-14,5
"45",2012-12-15,7
"46",2012-12-16,5
"47",2012-12-17,4
"48",2012-12-18,4
"49",2012-12-19,4
"50",2012-12-20,4
"51",2012-12-21,5
"52",2012-12-22,6
"53",2012-12-23,5
"54",2012-12-24,6
"55",2012-12-25,7
"56",2012-12-26,5
"57",2012-12-27,5
"58",2012-12-28,6
"59",2012-12-29,8
"60",2012-12-30,9
"61",2012-12-31,8
"62",2013-01-01,10
"63",2013-01-02,7
"64",2013-01-03,7
"65",2013-01-04,8
"66",2013-01-05,9
"67",2013-01-06,9
"68",2013-01-07,7
"69",2013-01-08,8
"70",2013-01-09,8
"71",2013-01-10,8
"72",2013-01-11,8
"73",2013-01-12,11
"74",2013-01-13,11
"75",2013-01-14,9
"76",2013-01-15,8
"77",2013-01-16,6
"78",2013-01-17,9
"79",2013-01-18,12
"80",2013-01-19,13
"81",2013-01-20,13
"82",2013-01-21,10
"83",2013-01-22,11
"84",2013-01-23,13
"85",2013-01-24,23
"86",2013-01-25,80
"87",2013-01-26,100
"88",2013-01-27,87
"89",2013-01-28,64
"90",2013-01-29,53
"91",2013-01-30,51
"92",2013-01-31,50
