"","start","Bhaag.Milkha.Bhaag."
"1",2013-08-01,72
"2",2013-08-02,75
"3",2013-08-03,100
"4",2013-08-04,93
"5",2013-08-05,64
"6",2013-08-06,55
"7",2013-08-07,56
"8",2013-08-08,59
"9",2013-08-09,68
"10",2013-08-10,78
"11",2013-08-11,70
"12",2013-08-12,42
"13",2013-08-13,41
"14",2013-08-14,46
"15",2013-08-15,51
"16",2013-08-16,45
"17",2013-08-17,54
"18",2013-08-18,54
"19",2013-08-19,34
"20",2013-08-20,33
"21",2013-08-21,29
"22",2013-08-22,29
"23",2013-08-23,29
"24",2013-08-24,43
"25",2013-08-25,42
"26",2013-08-26,24
"27",2013-08-27,23
"28",2013-08-28,26
"29",2013-08-29,21
"30",2013-08-30,24
"31",2013-08-31,34
