"","start","Bhaag.Milkha.Bhaag."
"1",2013-07-01,8
"2",2013-07-02,9
"3",2013-07-03,9
"4",2013-07-04,9
"5",2013-07-05,11
"6",2013-07-06,13
"7",2013-07-07,12
"8",2013-07-08,11
"9",2013-07-09,13
"10",2013-07-10,18
"11",2013-07-11,36
"12",2013-07-12,100
"13",2013-07-13,99
"14",2013-07-14,85
"15",2013-07-15,67
"16",2013-07-16,57
"17",2013-07-17,54
"18",2013-07-18,53
"19",2013-07-19,54
"20",2013-07-20,69
"21",2013-07-21,67
"22",2013-07-22,42
"23",2013-07-23,36
"24",2013-07-24,32
"25",2013-07-25,31
"26",2013-07-26,33
"27",2013-07-27,43
"28",2013-07-28,38
"29",2013-07-29,26
"30",2013-07-30,21
"31",2013-07-31,22
