"","start","Hunterrr."
"1",2015-05-01,86
"2",2015-05-02,100
"3",2015-05-03,90
"4",2015-05-04,75
"5",2015-05-05,69
"6",2015-05-06,67
"7",2015-05-07,65
"8",2015-05-08,70
"9",2015-05-09,85
"10",2015-05-10,70
"11",2015-05-11,54
"12",2015-05-12,56
"13",2015-05-13,48
"14",2015-05-14,59
"15",2015-05-15,49
"16",2015-05-16,63
"17",2015-05-17,58
"18",2015-05-18,48
"19",2015-05-19,40
"20",2015-05-20,42
"21",2015-05-21,41
"22",2015-05-22,47
"23",2015-05-23,55
"24",2015-05-24,66
"25",2015-05-25,59
"26",2015-05-26,43
"27",2015-05-27,50
"28",2015-05-28,45
"29",2015-05-29,44
"30",2015-05-30,58
"31",2015-05-31,49
