"","start","Hunterrr."
"1",2015-03-01,3
"2",2015-03-02,2
"3",2015-03-03,2
"4",2015-03-04,2
"5",2015-03-05,3
"6",2015-03-06,3
"7",2015-03-07,3
"8",2015-03-08,3
"9",2015-03-09,4
"10",2015-03-10,3
"11",2015-03-11,4
"12",2015-03-12,5
"13",2015-03-13,8
"14",2015-03-14,10
"15",2015-03-15,11
"16",2015-03-16,13
"17",2015-03-17,15
"18",2015-03-18,15
"19",2015-03-19,17
"20",2015-03-20,82
"21",2015-03-21,100
"22",2015-03-22,77
"23",2015-03-23,62
"24",2015-03-24,49
"25",2015-03-25,55
"26",2015-03-26,36
"27",2015-03-27,45
"28",2015-03-28,61
"29",2015-03-29,43
"30",2015-03-30,34
"31",2015-03-31,32
