"","start","Hunterrr."
"1",2015-04-01,98
"2",2015-04-02,100
"3",2015-04-03,94
"4",2015-04-04,99
"5",2015-04-05,82
"6",2015-04-06,67
"7",2015-04-07,53
"8",2015-04-08,51
"9",2015-04-09,52
"10",2015-04-10,60
"11",2015-04-11,64
"12",2015-04-12,51
"13",2015-04-13,39
"14",2015-04-14,37
"15",2015-04-15,35
"16",2015-04-16,33
"17",2015-04-17,35
"18",2015-04-18,44
"19",2015-04-19,37
"20",2015-04-20,27
"21",2015-04-21,24
"22",2015-04-22,22
"23",2015-04-23,27
"24",2015-04-24,28
"25",2015-04-25,44
"26",2015-04-26,38
"27",2015-04-27,32
"28",2015-04-28,36
"29",2015-04-29,36
"30",2015-04-30,34
