"","start","Dil.Dhadakne.Do."
"1",2015-07-01,68
"2",2015-07-02,64
"3",2015-07-03,76
"4",2015-07-04,100
"5",2015-07-05,98
"6",2015-07-06,60
"7",2015-07-07,54
"8",2015-07-08,52
"9",2015-07-09,60
"10",2015-07-10,63
"11",2015-07-11,87
"12",2015-07-12,77
"13",2015-07-13,50
"14",2015-07-14,43
"15",2015-07-15,46
"16",2015-07-16,45
"17",2015-07-17,57
"18",2015-07-18,79
"19",2015-07-19,71
"20",2015-07-20,49
"21",2015-07-21,42
"22",2015-07-22,40
"23",2015-07-23,44
"24",2015-07-24,48
"25",2015-07-25,61
"26",2015-07-26,60
"27",2015-07-27,38
"28",2015-07-28,34
"29",2015-07-29,36
"30",2015-07-30,31
"31",2015-07-31,40
