"","start","Policegiri.movie."
"1",2013-07-01,9
"2",2013-07-02,9
"3",2013-07-03,12
"4",2013-07-04,19
"5",2013-07-05,78
"6",2013-07-06,100
"7",2013-07-07,90
"8",2013-07-08,69
"9",2013-07-09,55
"10",2013-07-10,52
"11",2013-07-11,45
"12",2013-07-12,51
"13",2013-07-13,55
"14",2013-07-14,48
"15",2013-07-15,33
"16",2013-07-16,35
"17",2013-07-17,33
"18",2013-07-18,29
"19",2013-07-19,33
"20",2013-07-20,46
"21",2013-07-21,35
"22",2013-07-22,23
"23",2013-07-23,24
"24",2013-07-24,20
"25",2013-07-25,21
"26",2013-07-26,21
"27",2013-07-27,26
"28",2013-07-28,22
"29",2013-07-29,18
"30",2013-07-30,17
"31",2013-07-31,16
