"","start","Policegiri.movie."
"1",2013-05-01,0
"2",2013-05-02,3
"3",2013-05-03,3
"4",2013-05-04,5
"5",2013-05-05,7
"6",2013-05-06,3
"7",2013-05-07,3
"8",2013-05-08,3
"9",2013-05-09,3
"10",2013-05-10,4
"11",2013-05-11,5
"12",2013-05-12,4
"13",2013-05-13,9
"14",2013-05-14,8
"15",2013-05-15,6
"16",2013-05-16,9
"17",2013-05-17,10
"18",2013-05-18,5
"19",2013-05-19,9
"20",2013-05-20,6
"21",2013-05-21,7
"22",2013-05-22,4
"23",2013-05-23,4
"24",2013-05-24,6
"25",2013-05-25,9
"26",2013-05-26,4
"27",2013-05-27,5
"28",2013-05-28,7
"29",2013-05-29,21
"30",2013-05-30,16
"31",2013-05-31,20
"32",2013-06-01,17
"33",2013-06-02,17
"34",2013-06-03,30
"35",2013-06-04,31
"36",2013-06-05,29
"37",2013-06-06,38
"38",2013-06-07,25
"39",2013-06-08,46
"40",2013-06-09,58
"41",2013-06-10,41
"42",2013-06-11,42
"43",2013-06-12,57
"44",2013-06-13,44
"45",2013-06-14,82
"46",2013-06-15,81
"47",2013-06-16,69
"48",2013-06-17,42
"49",2013-06-18,44
"50",2013-06-19,48
"51",2013-06-20,52
"52",2013-06-21,65
"53",2013-06-22,77
"54",2013-06-23,56
"55",2013-06-24,49
"56",2013-06-25,52
"57",2013-06-26,64
"58",2013-06-27,66
"59",2013-06-28,90
"60",2013-06-29,100
"61",2013-06-30,82
