"","start","Bombay.Velvet."
"1",2015-06-01,100
"2",2015-06-02,87
"3",2015-06-03,86
"4",2015-06-04,90
"5",2015-06-05,89
"6",2015-06-06,99
"7",2015-06-07,91
"8",2015-06-08,54
"9",2015-06-09,54
"10",2015-06-10,59
"11",2015-06-11,53
"12",2015-06-12,59
"13",2015-06-13,65
"14",2015-06-14,59
"15",2015-06-15,42
"16",2015-06-16,42
"17",2015-06-17,41
"18",2015-06-18,39
"19",2015-06-19,41
"20",2015-06-20,60
"21",2015-06-21,58
"22",2015-06-22,40
"23",2015-06-23,36
"24",2015-06-24,35
"25",2015-06-25,35
"26",2015-06-26,37
"27",2015-06-27,52
"28",2015-06-28,49
"29",2015-06-29,36
"30",2015-06-30,33
