"","start","Bombay.Velvet."
"1",2015-03-01,0
"2",2015-03-02,0
"3",2015-03-03,0
"4",2015-03-04,0
"5",2015-03-05,0
"6",2015-03-06,0
"7",2015-03-07,1
"8",2015-03-08,1
"9",2015-03-09,1
"10",2015-03-10,1
"11",2015-03-11,1
"12",2015-03-12,1
"13",2015-03-13,1
"14",2015-03-14,1
"15",2015-03-15,1
"16",2015-03-16,1
"17",2015-03-17,1
"18",2015-03-18,2
"19",2015-03-19,17
"20",2015-03-20,9
"21",2015-03-21,6
"22",2015-03-22,4
"23",2015-03-23,3
"24",2015-03-24,2
"25",2015-03-25,2
"26",2015-03-26,2
"27",2015-03-27,2
"28",2015-03-28,2
"29",2015-03-29,1
"30",2015-03-30,1
"31",2015-03-31,1
"32",2015-04-01,1
"33",2015-04-02,1
"34",2015-04-03,1
"35",2015-04-04,1
"36",2015-04-05,1
"37",2015-04-06,1
"38",2015-04-07,1
"39",2015-04-08,1
"40",2015-04-09,1
"41",2015-04-10,2
"42",2015-04-11,3
"43",2015-04-12,3
"44",2015-04-13,3
"45",2015-04-14,4
"46",2015-04-15,4
"47",2015-04-16,4
"48",2015-04-17,5
"49",2015-04-18,7
"50",2015-04-19,5
"51",2015-04-20,4
"52",2015-04-21,4
"53",2015-04-22,4
"54",2015-04-23,4
"55",2015-04-24,6
"56",2015-04-25,6
"57",2015-04-26,6
"58",2015-04-27,5
"59",2015-04-28,7
"60",2015-04-29,6
"61",2015-04-30,6
"62",2015-05-01,6
"63",2015-05-02,7
"64",2015-05-03,6
"65",2015-05-04,5
"66",2015-05-05,6
"67",2015-05-06,5
"68",2015-05-07,6
"69",2015-05-08,7
"70",2015-05-09,10
"71",2015-05-10,11
"72",2015-05-11,9
"73",2015-05-12,10
"74",2015-05-13,12
"75",2015-05-14,23
"76",2015-05-15,100
"77",2015-05-16,98
"78",2015-05-17,69
"79",2015-05-18,45
"80",2015-05-19,32
"81",2015-05-20,25
"82",2015-05-21,22
"83",2015-05-22,20
"84",2015-05-23,21
"85",2015-05-24,17
"86",2015-05-25,12
"87",2015-05-26,9
"88",2015-05-27,8
"89",2015-05-28,8
"90",2015-05-29,7
"91",2015-05-30,9
"92",2015-05-31,8
