"","start","Gori.Tere.Pyaar.Mein."
"1",2013-12-01,100
"2",2013-12-02,61
"3",2013-12-03,57
"4",2013-12-04,60
"5",2013-12-05,58
"6",2013-12-06,62
"7",2013-12-07,84
"8",2013-12-08,64
"9",2013-12-09,43
"10",2013-12-10,37
"11",2013-12-11,33
"12",2013-12-12,41
"13",2013-12-13,39
"14",2013-12-14,54
"15",2013-12-15,51
"16",2013-12-16,32
"17",2013-12-17,34
"18",2013-12-18,42
"19",2013-12-19,38
"20",2013-12-20,38
"21",2013-12-21,52
"22",2013-12-22,45
"23",2013-12-23,38
"24",2013-12-24,40
"25",2013-12-25,47
"26",2013-12-26,39
"27",2013-12-27,34
"28",2013-12-28,37
"29",2013-12-29,36
"30",2013-12-30,32
"31",2013-12-31,37
