"","start","Gori.Tere.Pyaar.Mein."
"1",2014-01-01,69
"2",2014-01-02,61
"3",2014-01-03,60
"4",2014-01-04,81
"5",2014-01-05,67
"6",2014-01-06,46
"7",2014-01-07,57
"8",2014-01-08,51
"9",2014-01-09,48
"10",2014-01-10,63
"11",2014-01-11,86
"12",2014-01-12,74
"13",2014-01-13,55
"14",2014-01-14,47
"15",2014-01-15,47
"16",2014-01-16,46
"17",2014-01-17,49
"18",2014-01-18,100
"19",2014-01-19,92
"20",2014-01-20,48
"21",2014-01-21,35
"22",2014-01-22,35
"23",2014-01-23,38
"24",2014-01-24,42
"25",2014-01-25,59
"26",2014-01-26,66
"27",2014-01-27,36
"28",2014-01-28,29
"29",2014-01-29,35
"30",2014-01-30,35
"31",2014-01-31,37
