"","start","Gori.Tere.Pyaar.Mein."
"1",2013-11-01,13
"2",2013-11-02,13
"3",2013-11-03,11
"4",2013-11-04,11
"5",2013-11-05,13
"6",2013-11-06,12
"7",2013-11-07,13
"8",2013-11-08,11
"9",2013-11-09,15
"10",2013-11-10,14
"11",2013-11-11,13
"12",2013-11-12,13
"13",2013-11-13,13
"14",2013-11-14,13
"15",2013-11-15,16
"16",2013-11-16,19
"17",2013-11-17,24
"18",2013-11-18,21
"19",2013-11-19,19
"20",2013-11-20,20
"21",2013-11-21,30
"22",2013-11-22,86
"23",2013-11-23,100
"24",2013-11-24,87
"25",2013-11-25,59
"26",2013-11-26,49
"27",2013-11-27,44
"28",2013-11-28,43
"29",2013-11-29,42
"30",2013-11-30,49
