"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","And this is how competition was invented a long time ago. #competition #brothers #movie #film… https://t.co/urgAFgMWE1",FALSE,0,NA,2016-04-08 18:02:17,FALSE,NA,"718499218483228672",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","PaveVK",0,FALSE,FALSE,NA,NA
"2","@JakeGyllenhaal8  his new movie is out so I'm watching #brothers  you should Def go see his new movie too!!! #demolition  now go see it!!!",FALSE,1,"JakeGyllenhaal8",2016-04-08 11:58:31,FALSE,NA,"718407674312806400","431204957","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jrumby88",2,FALSE,FALSE,NA,NA
"3","Quality time with him! #Superman #movie #cinema #bonding #brothers #supermanVSbatman… https://t.co/D7itmWSqoX",FALSE,0,NA,2016-04-06 17:07:36,FALSE,NA,"717760682561835008",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","m4rkolicious23",0,FALSE,FALSE,"23.74845365","37.9669401"
"4","Rawhide - The #Blues #Brothers (5/9) Movie CLIP (1980) HD  https://t.co/dCLWV1Ppav",FALSE,1,NA,2016-04-04 20:46:33,FALSE,NA,"717091008312250368",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JPegios",1,FALSE,FALSE,NA,NA
"5","@DJ_Musicologist #JonnyLang made cameo appearance in 1998 #movie ""#Blues #Brothers 2000"" as janitor. In 1999 invited 2 play at #WhiteHouse.",FALSE,0,"DJ_Musicologist",2016-04-04 09:58:25,FALSE,"716926630887817217","716927899689992192","792806616","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","DJ_Musicologist",0,FALSE,FALSE,NA,NA
"6","@spandauballet Looking like a couple of old time gangsters or movie stars, 
#garykemp #martinkemp #brothers… https://t.co/XzXTL80b4d",FALSE,0,"SpandauBallet",2016-04-04 06:04:18,FALSE,NA,"716868981068406784","77311572","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Traf_40",0,FALSE,FALSE,NA,NA
"7","Noah and Camden watch a movie together. #brothers #instacam #lazysunday https://t.co/qxrJl0f0mA",FALSE,0,NA,2016-04-03 19:07:59,FALSE,NA,"716703814343081984",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","sczanella",0,FALSE,FALSE,NA,NA
"8","My boys went to a movie together tonight....<U+2764><U+FE0F> #Brothers #Buddies",FALSE,2,NA,2016-04-03 01:28:33,FALSE,NA,"716437196299841536",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","StephanieGorans",0,FALSE,FALSE,NA,NA
"9","Movie night <ed><U+00A0><U+00BD><ed><U+00B1><U+00AC><U+2764><U+FE0F> #brothers  #saycheese #captionthis #guesswhopickedthemovie #mommylife https://t.co/Q0ztKxzZ1W",FALSE,0,NA,2016-04-02 23:47:12,FALSE,NA,"716411693262368771",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JulieSuttonNY",0,FALSE,FALSE,NA,NA
"10","@S1dharthM  in the Movie #Brothers https://t.co/2CaBrAllT4",FALSE,1,"S1dharthM",2016-04-01 15:34:44,FALSE,NA,"715925371133104128","950165300","<a href=""https://play.google.com/store/apps/details?id=lk.bhasha.loctwit"" rel=""nofollow"">LocTwit</a>","Rocxx_Rocky",2,FALSE,FALSE,NA,NA
"11","i watched the 2009 movie #Brothers last night ... 
&amp; i send my love to all the military families out there <ed><U+00A0><U+00BD><ed><U+00B9><U+008F><ed><U+00A0><U+00BC><ed><U+00B7><U+00BA><ed><U+00A0><U+00BC><ed><U+00B7><U+00B8><ed><U+00A0><U+00BD><ed><U+00B9><U+008F> https://t.co/rH33BOI0zP",FALSE,1,NA,2016-03-31 14:44:20,FALSE,NA,"715550298261966848",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Ambersnotebook",0,FALSE,FALSE,NA,NA
