"","start","Hate.Story.2."
"1",2014-05-01,0
"2",2014-05-02,0
"3",2014-05-03,0
"4",2014-05-04,0
"5",2014-05-05,0
"6",2014-05-06,0
"7",2014-05-07,0
"8",2014-05-08,0
"9",2014-05-09,0
"10",2014-05-10,0
"11",2014-05-11,0
"12",2014-05-12,0
"13",2014-05-13,0
"14",2014-05-14,0
"15",2014-05-15,0
"16",2014-05-16,0
"17",2014-05-17,0
"18",2014-05-18,0
"19",2014-05-19,0
"20",2014-05-20,0
"21",2014-05-21,0
"22",2014-05-22,0
"23",2014-05-23,0
"24",2014-05-24,0
"25",2014-05-25,0
"26",2014-05-26,0
"27",2014-05-27,0
"28",2014-05-28,0
"29",2014-05-29,0
"30",2014-05-30,0
"31",2014-05-31,0
"32",2014-06-01,0
"33",2014-06-02,0
"34",2014-06-03,0
"35",2014-06-04,0
"36",2014-06-05,4
"37",2014-06-06,23
"38",2014-06-07,35
"39",2014-06-08,36
"40",2014-06-09,33
"41",2014-06-10,32
"42",2014-06-11,34
"43",2014-06-12,35
"44",2014-06-13,37
"45",2014-06-14,44
"46",2014-06-15,38
"47",2014-06-16,32
"48",2014-06-17,34
"49",2014-06-18,33
"50",2014-06-19,34
"51",2014-06-20,34
"52",2014-06-21,36
"53",2014-06-22,34
"54",2014-06-23,27
"55",2014-06-24,26
"56",2014-06-25,26
"57",2014-06-26,26
"58",2014-06-27,26
"59",2014-06-28,29
"60",2014-06-29,25
"61",2014-06-30,19
"62",2014-07-01,20
"63",2014-07-02,21
"64",2014-07-03,24
"65",2014-07-04,25
"66",2014-07-05,29
"67",2014-07-06,28
"68",2014-07-07,25
"69",2014-07-08,25
"70",2014-07-09,25
"71",2014-07-10,25
"72",2014-07-11,28
"73",2014-07-12,34
"74",2014-07-13,32
"75",2014-07-14,28
"76",2014-07-15,29
"77",2014-07-16,30
"78",2014-07-17,35
"79",2014-07-18,79
"80",2014-07-19,100
"81",2014-07-20,81
"82",2014-07-21,58
"83",2014-07-22,53
"84",2014-07-23,47
"85",2014-07-24,43
"86",2014-07-25,39
"87",2014-07-26,48
"88",2014-07-27,41
"89",2014-07-28,32
"90",2014-07-29,33
"91",2014-07-30,30
"92",2014-07-31,30
