"","start","Hate.Story.2."
"1",2014-08-01,82
"2",2014-08-02,100
"3",2014-08-03,88
"4",2014-08-04,66
"5",2014-08-05,64
"6",2014-08-06,61
"7",2014-08-07,57
"8",2014-08-08,61
"9",2014-08-09,69
"10",2014-08-10,66
"11",2014-08-11,50
"12",2014-08-12,46
"13",2014-08-13,46
"14",2014-08-14,47
"15",2014-08-15,49
"16",2014-08-16,56
"17",2014-08-17,52
"18",2014-08-18,41
"19",2014-08-19,39
"20",2014-08-20,42
"21",2014-08-21,41
"22",2014-08-22,44
"23",2014-08-23,53
"24",2014-08-24,47
"25",2014-08-25,34
"26",2014-08-26,32
"27",2014-08-27,34
"28",2014-08-28,35
"29",2014-08-29,34
"30",2014-08-30,40
"31",2014-08-31,39
