movies,release,trailer,pretrailer,r1,r2,r3,r4,r5,r6
2 States,2014-04-26,2014-02-27,2013-11-27,2014-05-03,2014-05-10,2014-05-17,2014-05-24,2014-05-31,2014-06-07
300 Rise of an Empire,2014-03-15,2013-06-12,2013-03-12,2014-03-22,2014-03-29,2014-04-05,2014-04-12,2014-04-19,2014-04-26
47 Ronin,2014-11-01,2013-07-24,2013-04-24,2014-11-08,2014-11-15,2014-11-22,2014-11-29,2014-12-06,2014-12-13
A Good Day To Die Hard ,2013-02-03,2013-01-03,2012-10-03,2013-02-10,2013-02-17,2013-02-24,2013-03-03,2013-03-10,2013-03-17
Aatma,2013-03-30,2013-02-11,2012-11-11,2013-04-06,2013-04-13,2013-04-20,2013-04-27,2013-05-04,2013-05-11
ABCD 2,2015-06-27,2015-04-21,2015-01-21,2015-07-04,2015-07-11,2015-07-18,2015-07-25,2015-08-01,2015-08-08
Action Jackson,2014-12-13,2014-10-22,2014-07-22,2014-12-20,2014-12-27,2015-01-03,2015-01-10,2015-01-17,2015-01-24
After Earth,2013-06-15,2013-03-08,2012-12-08,2013-06-22,2013-06-29,2013-07-06,2013-07-13,2013-07-20,2013-07-27
All Is Well,2015-08-29,2015-07-01,2015-04-01,2015-09-05,2015-09-12,2015-09-19,2015-09-26,2015-10-03,2015-10-10
Alone,2015-01-24,2014-12-09,2014-09-09,2015-01-31,2015-02-07,2015-02-14,2015-02-21,2015-02-28,2015-03-07
Aurangzeb,2013-05-25,2013-04-02,2013-01-02,2013-06-01,2013-06-08,2013-06-15,2013-06-22,2013-06-29,2013-07-06
B.A. Pass,2013-10-08,2013-07-01,2013-04-01,2013-10-15,2013-10-22,2013-10-29,2013-11-05,2013-11-12,2013-11-19
Baby,2015-01-31,2014-12-03,2014-09-03,2015-02-07,2015-02-14,2015-02-21,2015-02-28,2015-03-07,2015-03-14
Badlapur Don't Miss The Beginning,2015-02-28,2014-12-01,2014-09-01,2015-03-07,2015-03-14,2015-03-21,2015-03-28,2015-04-04,2015-04-11
Bahubali (Hindi),2015-07-18,2015-05-02,2015-02-02,2015-07-25,2015-08-01,2015-08-08,2015-08-15,2015-08-22,2015-08-29
Bajatey Raho,2013-03-08,2012-12-17,2012-09-17,2013-03-15,2013-03-22,2013-03-29,2013-04-05,2013-04-12,2013-04-19
Bajrangi Bhaijaan,2015-07-25,2015-06-18,2015-03-18,2015-08-01,2015-08-08,2015-08-15,2015-08-22,2015-08-29,2015-09-05
Bang Bang,2014-11-10,2014-07-22,2014-04-22,2014-11-17,2014-11-24,2014-12-01,2014-12-08,2014-12-15,2014-12-22
Battle Of The Damned,2014-03-22,2013-06-24,2013-03-24,2014-03-29,2014-04-05,2014-04-12,2014-04-19,2014-04-26,2014-05-03
Besharam,2013-12-10,2013-07-30,2013-04-30,2013-12-17,2013-12-24,2013-12-31,2014-01-07,2014-01-14,2014-01-21
Bewakoofiyaan,2014-03-22,2014-02-06,2013-11-06,2014-03-29,2014-04-05,2014-04-12,2014-04-19,2014-04-26,2014-05-03
Bhaag Milkha Bhaag,2013-07-20,2012-11-29,2012-08-29,2013-07-27,2013-08-03,2013-08-10,2013-08-17,2013-08-24,2013-08-31
Bhoot Returns,2012-10-20,2012-09-07,2012-06-07,2012-10-27,2012-11-03,2012-11-10,2012-11-17,2012-11-24,2012-12-01
Bhoothnath Returns,2014-04-19,2014-02-25,2013-11-25,2014-04-26,2014-05-03,2014-05-10,2014-05-17,2014-05-24,2014-05-31
Bhopal A Prayer For Rain,2014-12-13,2014-09-17,2014-06-17,2014-12-20,2014-12-27,2015-01-03,2015-01-10,2015-01-17,2015-01-24
Bol,2011-10-09,2014-03-17,2013-12-17,2011-10-16,2011-10-23,2011-10-30,2011-11-06,2011-11-13,2011-11-20
Bombay Talkies,2013-11-05,2013-03-25,2012-12-25,2013-11-12,2013-11-19,2013-11-26,2013-12-03,2013-12-10,2013-12-17
Bombay Velvet,2015-05-23,2015-03-18,2014-12-18,2015-05-30,2015-06-06,2015-06-13,2015-06-20,2015-06-27,2015-07-04
Brothers,2015-08-22,2015-06-10,2015-03-10,2015-08-29,2015-09-05,2015-09-12,2015-09-19,2015-09-26,2015-10-03
Chashme Baddoor,2013-04-13,2013-02-07,2012-11-07,2013-04-20,2013-04-27,2013-05-04,2013-05-11,2013-05-18,2013-05-25
Chennai Express,2013-08-17,2013-06-13,2013-03-13,2013-08-24,2013-08-31,2013-09-07,2013-09-14,2013-09-21,2013-09-28
D-Day,2013-07-27,2013-03-22,2012-12-22,2013-08-03,2013-08-10,2013-08-17,2013-08-24,2013-08-31,2013-09-07
Daawat-e-Ishq,2014-09-27,2014-07-07,2014-04-07,2014-10-04,2014-10-11,2014-10-18,2014-10-25,2014-11-01,2014-11-08
Dabangg 2,2012-12-29,2012-11-10,2012-08-10,2013-01-05,2013-01-12,2013-01-19,2013-01-26,2013-02-02,2013-02-09
David,2013-09-02,2012-12-13,2012-09-13,2013-09-09,2013-09-16,2013-09-23,2013-09-30,2013-10-07,2013-10-14
Dawn of the Planet of the Apes,2014-07-19,2013-12-18,2013-09-18,2014-07-26,2014-08-02,2014-08-09,2014-08-16,2014-08-23,2014-08-30
Dedh Ishqiya,2014-01-18,2013-11-25,2013-08-25,2014-01-25,2014-02-01,2014-02-08,2014-02-15,2014-02-22,2014-03-01
Dhoom 3,2013-12-28,2013-10-30,2013-07-30,2014-01-04,2014-01-11,2014-01-18,2014-01-25,2014-02-01,2014-02-08
Dil Dhadakne Do,2015-06-13,2015-04-15,2015-01-15,2015-06-20,2015-06-27,2015-07-04,2015-07-11,2015-07-18,2015-07-25
Dirty Politics,2015-03-14,2014-12-21,2014-09-21,2015-03-21,2015-03-28,2015-04-04,2015-04-11,2015-04-18,2015-04-25
Dolly Ki Doli,2015-01-31,2014-12-12,2014-09-12,2015-02-07,2015-02-14,2015-02-21,2015-02-28,2015-03-07,2015-03-14
Dragon Blade,2015-04-04,2015-01-01,2014-10-01,2015-04-11,2015-04-18,2015-04-25,2015-05-02,2015-05-09,2015-05-16
Drishyam,2015-08-08,2015-04-01,2015-01-01,2015-08-15,2015-08-22,2015-08-29,2015-09-05,2015-09-12,2015-09-19
Dum Laga Ke Haisha,2015-07-03,2015-05-02,2015-02-02,2015-07-10,2015-07-17,2015-07-24,2015-07-31,2015-08-07,2015-08-14
Ek Villain,2014-05-07,2014-03-04,2013-12-04,2014-05-14,2014-05-21,2014-05-28,2014-06-04,2014-06-11,2014-06-18
Everest,2015-09-26,2015-04-01,2015-01-01,2015-10-03,2015-10-10,2015-10-17,2015-10-24,2015-10-31,2015-11-07
Exodus Gods and Kings,2014-12-13,2014-01-10,2013-10-10,2014-12-20,2014-12-27,2015-01-03,2015-01-10,2015-01-17,2015-01-24
Fantastic Four,2015-08-29,2015-04-19,2015-01-19,2015-09-05,2015-09-12,2015-09-19,2015-09-26,2015-10-03,2015-10-10
Filmistaan,2014-06-14,2014-04-16,2014-01-16,2014-06-21,2014-06-28,2014-07-05,2014-07-12,2014-07-19,2014-07-26
Finding Fanny,2014-09-20,2014-08-07,2014-05-07,2014-09-27,2014-10-04,2014-10-11,2014-10-18,2014-10-25,2014-11-01
