"","start","Jackpot."
"1",2013-12-01,28
"2",2013-12-02,25
"3",2013-12-03,26
"4",2013-12-04,29
"5",2013-12-05,27
"6",2013-12-06,33
"7",2013-12-07,39
"8",2013-12-08,36
"9",2013-12-09,32
"10",2013-12-10,35
"11",2013-12-11,39
"12",2013-12-12,57
"13",2013-12-13,86
"14",2013-12-14,100
"15",2013-12-15,78
"16",2013-12-16,66
"17",2013-12-17,74
"18",2013-12-18,78
"19",2013-12-19,56
"20",2013-12-20,47
"21",2013-12-21,53
"22",2013-12-22,41
"23",2013-12-23,35
"24",2013-12-24,37
"25",2013-12-25,37
"26",2013-12-26,33
"27",2013-12-27,35
"28",2013-12-28,38
"29",2013-12-29,35
"30",2013-12-30,30
"31",2013-12-31,31
