"","start","Jackpot."
"1",2014-01-01,100
"2",2014-01-02,79
"3",2014-01-03,81
"4",2014-01-04,93
"5",2014-01-05,82
"6",2014-01-06,64
"7",2014-01-07,68
"8",2014-01-08,65
"9",2014-01-09,62
"10",2014-01-10,70
"11",2014-01-11,82
"12",2014-01-12,67
"13",2014-01-13,58
"14",2014-01-14,55
"15",2014-01-15,52
"16",2014-01-16,53
"17",2014-01-17,59
"18",2014-01-18,73
"19",2014-01-19,67
"20",2014-01-20,58
"21",2014-01-21,56
"22",2014-01-22,58
"23",2014-01-23,59
"24",2014-01-24,61
"25",2014-01-25,71
"26",2014-01-26,63
"27",2014-01-27,55
"28",2014-01-28,51
"29",2014-01-29,56
"30",2014-01-30,68
"31",2014-01-31,63
