"","start","Jackpot."
"1",2014-02-01,94
"2",2014-02-02,80
"3",2014-02-03,64
"4",2014-02-04,63
"5",2014-02-05,65
"6",2014-02-06,59
"7",2014-02-07,78
"8",2014-02-08,95
"9",2014-02-09,84
"10",2014-02-10,67
"11",2014-02-11,67
"12",2014-02-12,67
"13",2014-02-13,70
"14",2014-02-14,78
"15",2014-02-15,98
"16",2014-02-16,87
"17",2014-02-17,71
"18",2014-02-18,69
"19",2014-02-19,83
"20",2014-02-20,91
"21",2014-02-21,80
"22",2014-02-22,100
"23",2014-02-23,78
"24",2014-02-24,63
"25",2014-02-25,61
"26",2014-02-26,65
"27",2014-02-27,73
"28",2014-02-28,84
