"","start","Dirty.Politics."
"1",2014-12-01,1
"2",2014-12-02,2
"3",2014-12-03,1
"4",2014-12-04,2
"5",2014-12-05,1
"6",2014-12-06,2
"7",2014-12-07,3
"8",2014-12-08,4
"9",2014-12-09,1
"10",2014-12-10,2
"11",2014-12-11,2
"12",2014-12-12,2
"13",2014-12-13,2
"14",2014-12-14,2
"15",2014-12-15,1
"16",2014-12-16,1
"17",2014-12-17,2
"18",2014-12-18,1
"19",2014-12-19,3
"20",2014-12-20,2
"21",2014-12-21,15
"22",2014-12-22,98
"23",2014-12-23,100
"24",2014-12-24,76
"25",2014-12-25,66
"26",2014-12-26,51
"27",2014-12-27,68
"28",2014-12-28,36
"29",2014-12-29,29
"30",2014-12-30,28
"31",2014-12-31,24
"32",2015-01-01,22
"33",2015-01-02,19
"34",2015-01-03,18
"35",2015-01-04,21
"36",2015-01-05,38
"37",2015-01-06,31
"38",2015-01-07,18
"39",2015-01-08,14
"40",2015-01-09,15
"41",2015-01-10,13
"42",2015-01-11,11
"43",2015-01-12,12
"44",2015-01-13,14
"45",2015-01-14,14
"46",2015-01-15,16
"47",2015-01-16,16
"48",2015-01-17,17
"49",2015-01-18,13
"50",2015-01-19,16
"51",2015-01-20,23
"52",2015-01-21,28
"53",2015-01-22,29
"54",2015-01-23,27
"55",2015-01-24,30
"56",2015-01-25,59
"57",2015-01-26,36
"58",2015-01-27,31
"59",2015-01-28,25
"60",2015-01-29,28
"61",2015-01-30,26
"62",2015-01-31,38
"63",2015-02-01,42
"64",2015-02-02,35
"65",2015-02-03,33
"66",2015-02-04,34
"67",2015-02-05,37
"68",2015-02-06,34
"69",2015-02-07,44
"70",2015-02-08,33
"71",2015-02-09,31
"72",2015-02-10,30
"73",2015-02-11,30
"74",2015-02-12,33
"75",2015-02-13,50
"76",2015-02-14,57
"77",2015-02-15,45
"78",2015-02-16,51
"79",2015-02-17,42
"80",2015-02-18,46
"81",2015-02-19,43
"82",2015-02-20,41
"83",2015-02-21,48
"84",2015-02-22,40
"85",2015-02-23,29
"86",2015-02-24,32
"87",2015-02-25,30
"88",2015-02-26,30
"89",2015-02-27,37
"90",2015-02-28,39
