"","start","Dirty.Politics."
"1",2015-03-01,9
"2",2015-03-02,8
"3",2015-03-03,10
"4",2015-03-04,22
"5",2015-03-05,29
"6",2015-03-06,69
"7",2015-03-07,100
"8",2015-03-08,71
"9",2015-03-09,55
"10",2015-03-10,48
"11",2015-03-11,44
"12",2015-03-12,41
"13",2015-03-13,38
"14",2015-03-14,37
"15",2015-03-15,29
"16",2015-03-16,21
"17",2015-03-17,19
"18",2015-03-18,18
"19",2015-03-19,18
"20",2015-03-20,20
"21",2015-03-21,20
"22",2015-03-22,20
"23",2015-03-23,15
"24",2015-03-24,12
"25",2015-03-25,13
"26",2015-03-26,10
"27",2015-03-27,12
"28",2015-03-28,15
"29",2015-03-29,12
"30",2015-03-30,9
"31",2015-03-31,9
