"","start","Katti.Batti."
"1",2015-10-01,96
"2",2015-10-02,94
"3",2015-10-03,100
"4",2015-10-04,80
"5",2015-10-05,51
"6",2015-10-06,46
"7",2015-10-07,47
"8",2015-10-08,45
"9",2015-10-09,53
"10",2015-10-10,61
"11",2015-10-11,48
"12",2015-10-12,38
"13",2015-10-13,31
"14",2015-10-14,31
"15",2015-10-15,29
"16",2015-10-16,32
"17",2015-10-17,40
"18",2015-10-18,34
"19",2015-10-19,26
"20",2015-10-20,23
"21",2015-10-21,23
"22",2015-10-22,26
"23",2015-10-23,29
"24",2015-10-24,33
"25",2015-10-25,24
"26",2015-10-26,19
"27",2015-10-27,20
"28",2015-10-28,19
"29",2015-10-29,20
"30",2015-10-30,20
"31",2015-10-31,25
