"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","#download b a pass full movie https://t.co/WqTg7JyF5m",FALSE,0,NA,2016-04-08 14:44:05,FALSE,NA,"718449340939808769",NA,"<a href=""http://www.us0.xyz/"" rel=""nofollow"">mobileappsblogapps</a>","MobileappsInfo8",0,FALSE,FALSE,NA,NA
"2","I added a video to a @YouTube playlist https://t.co/1gVUx0JgD0 B.A Pass Full Hindi Movie DvDScr Rip - X264 HD (2013)",FALSE,0,NA,2016-04-08 10:47:08,FALSE,NA,"718389711178481664",NA,"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>","SOHELL13",0,FALSE,FALSE,NA,NA
"3","#download b a pass full movie https://t.co/F3rIDk1lTV https://t.co/BzPVMMmplQ https://t.co/eht90FaoGr",FALSE,1,NA,2016-04-04 12:37:01,FALSE,NA,"716967811973689346",NA,"<a href=""http://www.us0.xyz/"" rel=""nofollow"">mobileappsblogapps</a>","MobileappsInfo8",0,FALSE,FALSE,NA,NA
