"","start","Yaariyan.movie."
"1",2013-10-01,0
"2",2013-10-02,0
"3",2013-10-03,0
"4",2013-10-04,1
"5",2013-10-05,1
"6",2013-10-06,1
"7",2013-10-07,0
"8",2013-10-08,1
"9",2013-10-09,0
"10",2013-10-10,0
"11",2013-10-11,0
"12",2013-10-12,0
"13",2013-10-13,0
"14",2013-10-14,0
"15",2013-10-15,0
"16",2013-10-16,0
"17",2013-10-17,0
"18",2013-10-18,0
"19",2013-10-19,0
"20",2013-10-20,0
"21",2013-10-21,0
"22",2013-10-22,0
"23",2013-10-23,0
"24",2013-10-24,0
"25",2013-10-25,0
"26",2013-10-26,1
"27",2013-10-27,1
"28",2013-10-28,0
"29",2013-10-29,1
"30",2013-10-30,1
"31",2013-10-31,7
"32",2013-11-01,8
"33",2013-11-02,9
"34",2013-11-03,7
"35",2013-11-04,7
"36",2013-11-05,8
"37",2013-11-06,7
"38",2013-11-07,9
"39",2013-11-08,7
"40",2013-11-09,12
"41",2013-11-10,8
"42",2013-11-11,6
"43",2013-11-12,7
"44",2013-11-13,7
"45",2013-11-14,9
"46",2013-11-15,8
"47",2013-11-16,9
"48",2013-11-17,8
"49",2013-11-18,7
"50",2013-11-19,8
"51",2013-11-20,8
"52",2013-11-21,7
"53",2013-11-22,6
"54",2013-11-23,8
"55",2013-11-24,10
"56",2013-11-25,8
"57",2013-11-26,16
"58",2013-11-27,13
"59",2013-11-28,14
"60",2013-11-29,34
"61",2013-11-30,40
"62",2013-12-01,45
"63",2013-12-02,43
"64",2013-12-03,50
"65",2013-12-04,55
"66",2013-12-05,49
"67",2013-12-06,65
"68",2013-12-07,78
"69",2013-12-08,72
"70",2013-12-09,61
"71",2013-12-10,60
"72",2013-12-11,59
"73",2013-12-12,68
"74",2013-12-13,77
"75",2013-12-14,91
"76",2013-12-15,93
"77",2013-12-16,81
"78",2013-12-17,78
"79",2013-12-18,76
"80",2013-12-19,75
"81",2013-12-20,72
"82",2013-12-21,90
"83",2013-12-22,86
"84",2013-12-23,78
"85",2013-12-24,95
"86",2013-12-25,100
"87",2013-12-26,84
"88",2013-12-27,79
"89",2013-12-28,90
"90",2013-12-29,91
"91",2013-12-30,84
"92",2013-12-31,89
