"","start","Heropanti."
"1",2014-04-01,0
"2",2014-04-02,0
"3",2014-04-03,0
"4",2014-04-04,2
"5",2014-04-05,4
"6",2014-04-06,2
"7",2014-04-07,2
"8",2014-04-08,1
"9",2014-04-09,1
"10",2014-04-10,1
"11",2014-04-11,1
"12",2014-04-12,2
"13",2014-04-13,5
"14",2014-04-14,6
"15",2014-04-15,7
"16",2014-04-16,8
"17",2014-04-17,9
"18",2014-04-18,12
"19",2014-04-19,13
"20",2014-04-20,12
"21",2014-04-21,12
"22",2014-04-22,11
"23",2014-04-23,12
"24",2014-04-24,12
"25",2014-04-25,13
"26",2014-04-26,15
"27",2014-04-27,15
"28",2014-04-28,13
"29",2014-04-29,15
"30",2014-04-30,16
"31",2014-05-01,18
"32",2014-05-02,17
"33",2014-05-03,20
"34",2014-05-04,20
"35",2014-05-05,17
"36",2014-05-06,19
"37",2014-05-07,19
"38",2014-05-08,21
"39",2014-05-09,23
"40",2014-05-10,38
"41",2014-05-11,40
"42",2014-05-12,31
"43",2014-05-13,29
"44",2014-05-14,29
"45",2014-05-15,29
"46",2014-05-16,30
"47",2014-05-17,36
"48",2014-05-18,36
"49",2014-05-19,30
"50",2014-05-20,30
"51",2014-05-21,32
"52",2014-05-22,36
"53",2014-05-23,80
"54",2014-05-24,100
"55",2014-05-25,90
"56",2014-05-26,73
"57",2014-05-27,74
"58",2014-05-28,64
"59",2014-05-29,68
"60",2014-05-30,65
"61",2014-05-31,73
